2011,,
ACT New Zealand,,
1,"BRASH, Donald Thomas",
2,"ISAAC, Catherine Anne Elizabeth",
3,"NICOLSON, Donald Owen",
4,"BANKS, John",Epsom Electorate
5,"SEYMOUR, David Breen",
6,"SIMMONS, Christopher William",
7,"WHITTINGTON, Stephen Alexander",
8,"McCABE, Kathleen Patricia Louise",
9,"STENT, Robyn Kathleen",
10,"THOMPSON, John Stanley",
11,"ORMOND, John Davies",
12,"MURPHY, Lynette Mary",
13,"MORATTI, Kevin Robert",
14,"GRIEVE, Robin Barrie",
15,"NAND, Pratima Devi",
16,"COSTELLO, Dominic John",
17,"SEVERIN, Toni Gae",
18,"EVANS, Richard Warwick",
19,"CUMMINGS, Ian James",
20,"VEALE, Gareth Rhys",
21,"HUTTON, Toby James",
22,"STRATTON, Daniel Kenneth",
23,"BURNSIDE, Robert James",
24,"FITZGERALD, Hayden Brent Richard",
25,"SPEIRS, Richard Alexander",
26,"McCAFFREY, Peter Edward",
27,"ATKINSON, Shane Whitford",
28,"BIRCHFIELD, Allan John",
29,"BOOM, Robin Cornelius",
30,"BOYLE, Stephen James",
31,"BRILL, Barry Edward",
32,"CARLINE, Ian Allan",
33,"CORBETT, Thomas Frederick",
34,"COSTELLO, Cassandra Jane",
35,"COURTENAY, Alwyn John",
36,"DAVIDSON, Alan Daniel",
37,"HANNAH, Kimberly Joanne",
38,"HOULBROOKE, Beth Patricia",
39,"HUFFLETT, Paul Charles",
40,"JOLLANDS, Rosanne Maree",
41,"KEARNEY, Nicholas Norman",
42,"KRONFELD, Timothy Paul",
43,"LATIMER, Joel Neurangi",
44,"MACFARLANE, Jonathan",
45,"MALLETT, Garry Bruce",
46,"McCALLUM, Guy Daniel",
47,"NICHOLLS, Colin William",
48,"NORVILL, John Anthony",
49,"PETERSON, David Christopher Malcolm",
50,"READ, James Jeremy",
51,"RUSSELL, Geoffrey Neil",
52,"SHARROCK, Andrew James",
53,"STEINIJANS, Barbara Delia",
54,"WARREN, Michael John",
55,"ASHWORTH, Vincent Alexandra",
Green Party,,
1,"STANTON TUREI, Metiria Leanne Agnes",Seat Allocation 4
2,"NORMAN, Russel",Seat Allocation 13
3,"HAGUE, Kevin  Grant",Seat Allocation 21
4,"DELAHUNTY, Catherine",Seat Allocation 30
5,"GRAHAM, Kennedy Gollan Montrose",Seat Allocation 39
6,"SAGE, Eugenie Meryl",Seat Allocation 50
7,"HUGHES, Gareth Thomas Llewellyn",Seat Allocation 58
8,"CLENDON, David James",Seat Allocation 66
9,"LOGIE, Heather Janet",Seat Allocation 74
10,"BROWNING, Steffan John",Seat Allocation 85
11,"ROCHE, Denise Maree",Seat Allocation 92
12,"WALKER, Holly Ruth Haines",Seat Allocation 101
13,"GENTER, Julie Anne",Seat Allocation 109
14,"MATHERS, Mojo Celeste",Seat Allocation 119
15,"SHAW, James Peter Edward",
16,"HAY, David Robert",
17,"LECKINGER, Richard John",
18,"BARLOW, Aaryn",
19,"ELLEY, Jeanette Susan",
20,"ROTMANN, Sea",
21,"GILCHRIST, Michael Alexander",
22,"LANGSBURY, Dora Roimata",
23,"KENNEDY, David John",
24,"WOODLEY, Tane Hohepa",
25,"BURSTON, Joseph Daniel",
26,"CURTIS, Michael James",
27,"GALLAGHER, Shane Anthony",
28,"TOMS, Saffron",
29,"TOLLESTRUP, Stephen Rome",
30,"DORNER, Zachary James Moar",
31,"BAILEY, Paul Edward",
32,"BAZELEY, Andrew Patrick",
33,"BRANNIGAN, Maree Annette",
34,"CONROY, Caroline Anne",
35,"COUTTS, Susan Jane",
36,"EVANS, Pauline",
37,"GOLDSMITH, Rachael Louise",
